Source,Target,Weight
刘备,关羽,864
刘备,张飞,939
刘备,曹操,1275
刘备,袁绍,395
刘备,吕布,631
刘备,赵云,629
刘备,周瑜,394
刘备,孙权,301
刘备,张辽,123
刘备,刘表,265
刘备,诸葛亮,806
刘备,魏延,266
刘备,鲁肃,134
刘备,黄忠,288
刘备,马超,148
关羽,刘备,864
关羽,张飞,327
关羽,曹操,683
关羽,袁绍,229
关羽,赵云,116
关羽,张辽,125
关羽,诸葛亮,115
关羽,孙权,109
关羽,庞德,361
张飞,刘备,939
张飞,关羽,327
张飞,曹操,318
张飞,吕布,205
张飞,赵云,224
张飞,诸葛亮,317
张飞,魏延,333
张飞,黄忠,135
张飞,马超,466
曹操,刘备,1275
曹操,张飞,318
曹操,关羽,683
曹操,袁绍,406
曹操,吕布,358
曹操,赵云,252
曹操,张辽,231
曹操,徐晃,234
曹操,孙策,123
曹操,周瑜,293
曹操,孙权,415
曹操,刘表,214
曹操,鲁肃,180
曹操,诸葛亮,594
曹操,马超,351
曹操,庞德,218
董卓,吕布,244
袁绍,曹操,406
袁绍,刘备,395
袁绍,关羽,229
吕布,董卓,244
吕布,曹操,358
吕布,刘备,631
吕布,张飞,205
刘表,曹操,214
刘表,刘备,265
赵云,刘备,629
赵云,关羽,116
赵云,张飞,224
赵云,曹操,252
赵云,徐晃,138
赵云,诸葛亮,480
赵云,刘禅,188
赵云,黄忠,189
赵云,魏延,120
孙策,曹操,123
马超,诸葛亮,111
马超,曹操,351
马超,刘备,148
马超,庞德,219
马超,张飞,466
马超,魏延,108
张辽,曹操,231
张辽,刘备,123
张辽,关羽,125
张辽,孙权,210
徐晃,曹操,234
徐晃,赵云,138
周瑜,孙权,136
周瑜,曹操,293
周瑜,刘备,394
周瑜,鲁肃,249
周瑜,诸葛亮,472
孙权,周瑜,136
孙权,曹操,415
孙权,刘备,301
孙权,鲁肃,111
孙权,诸葛亮,251
孙权,张辽,210
孙权,关羽,109
鲁肃,周瑜,249
鲁肃,孙权,111
鲁肃,曹操,180
鲁肃,刘备,134
鲁肃,诸葛亮,287
刘禅,赵云,188
刘禅,诸葛亮,359
刘禅,姜维,153
刘禅,邓艾,113
诸葛亮,刘备,806
诸葛亮,赵云,480
诸葛亮,曹操,594
诸葛亮,张飞,317
诸葛亮,关羽,115
诸葛亮,孙权,251
诸葛亮,司马懿,530
诸葛亮,刘禅,359
诸葛亮,鲁肃,287
诸葛亮,周瑜,472
诸葛亮,黄忠,143
诸葛亮,魏延,469
诸葛亮,马超,111
诸葛亮,姜维,233
司马懿,诸葛亮,530
魏延,刘备,266
魏延,张飞,333
魏延,黄忠,196
魏延,诸葛亮,469
魏延,赵云,120
魏延,马超,108
黄忠,刘备,288
黄忠,诸葛亮,143
黄忠,赵云,189
黄忠,魏延,196
黄忠,张飞,135
庞德,马超,219
庞德,曹操,218
庞德,关羽,361
姜维,诸葛亮,233
姜维,刘禅,153
姜维,邓艾,186
邓艾,姜维,186
邓艾,刘禅,113
